radius, weight, alpha
0.0983867, 0.023669, 282.843
0.0961635, 0.023669, 282.843
0.110249, 0.0255247, 282.843
0.0516, 0.0255247, 282.843
0.102509, 0.0334246, 282.843
0.103365, 0.0334246, 282.843
0.104436, 0.0388951, 282.843
0.109531, 0.0388951, 282.843
0.0959098, 0.0266823, 282.843
0.072242, 0.0266823, 282.843
0.092765, 0.0272032, 282.843
0.0666659, 0.0272032, 282.843
0.0981528, 0.0301391, 282.843
0.100949, 0.0301391, 282.843
0.10435, 0.0309549, 282.843
0.0984403, 0.0309549, 282.843
0.0920968, 0.0253946, 282.843
0.0797289, 0.0253946, 282.843
0.127401, 0.0258686, 282.843
0.10465, 0.0258686, 282.843
0.103559, 0.0262411, 282.843
0.106347, 0.0262411, 282.843
0.118241, 0.0322926, 282.843
0.0435058, 0.0322926, 282.843
0.100129, 0.0217226, 282.843
0.102008, 0.0217226, 282.843
0.10253, 0.0326041, 282.843
0.093537, 0.0326041, 282.843
0.0335699, 0.0302602, 282.843
0.112253, 0.0302602, 282.843
0.0908571, 0.0307071, 282.843
0.0994477, 0.0307071, 282.843
0.0371814, 0.0275817, 282.843
0.124082, 0.0275817, 282.843
0.0575763, 0.0223991, 282.843
0.0984763, 0.0223991, 282.843
0.0585773, 0.0264998, 282.843
0.098816, 0.0264998, 282.843
0.044015, 0.0291207, 282.843
0.120187, 0.0291207, 282.843
0.0896627, 0.033572, 282.843
0.0993254, 0.033572, 282.843
0.0409673, 0.0275578, 282.843
0.106527, 0.0275578, 282.843
0.0505964, 0.0324569, 282.843
0.118294, 0.0324569, 282.843
0.10618, 0.029797, 282.843
0.0976893, 0.029797, 282.843
0.0830515, 0.0208922, 282.843
0.105282, 0.0208922, 282.843
0.0435997, 0.0235879, 282.843
0.117199, 0.0235879, 282.843
0.0960198, 0.026797, 282.843
0.0997502, 0.026797, 282.843
0.0873036, 0.0368394, 282.843
0.103179, 0.0368394, 282.843
0.104484, 0.0247038, 282.843
0.105453, 0.0247038, 282.843
0.101234, 0.0269836, 282.843
0.0991605, 0.0269836, 282.843
0.105256, 0.0245447, 282.843
0.0986468, 0.0245447, 282.843
0.0709606, 0.0251959, 282.843
0.0975686, 0.0251959, 282.843
0.0979139, 0.024118, 282.843
0.100241, 0.024118, 282.843
0.0824353, 0.0269896, 282.843
0.103037, 0.0269896, 282.843
0.107734, 0.0366899, 282.843
0.106017, 0.0366899, 282.843
0.104752, 0.0353353, 282.843
0.107215, 0.0353353, 282.843
0.10372, 0.029375, 282.843
0.102582, 0.029375, 282.843
0.0594373, 0.0340834, 282.843
0.102568, 0.0340834, 282.843
0.0995067, 0.0274101, 282.843
0.0585909, 0.0274101, 282.843
0.0677647, 0.0336112, 282.843
0.0985162, 0.0336112, 282.843
0.0961395, 0.028612, 282.843
0.0941999, 0.028612, 282.843
0.109985, 0.0277418, 282.843
0.1036, 0.0277418, 282.843
0.0685801, 0.0362195, 282.843
0.101771, 0.0362195, 282.843
0.0900635, 0.0293299, 282.843
0.0965728, 0.0293299, 282.843
0.107124, 0.0315143, 282.843
0.0987224, 0.0315143, 282.843
0.0984755, 0.0313653, 282.843
0.0765866, 0.0313653, 282.843
0.0638078, 0.0287683, 282.843
0.113324, 0.0287683, 282.843
