radius, weight, alpha
0.0984412, 0.0236598, 282.843
0.0996301, 0.0236598, 282.843
0.114594, 0.0233917, 282.843
0.0417045, 0.0233917, 282.843
0.0997703, 0.0335083, 282.843
0.10254, 0.0335083, 282.843
0.105161, 0.0382385, 282.843
0.110918, 0.0382385, 282.843
0.0939502, 0.0266819, 282.843
0.0662629, 0.0266819, 282.843
0.107489, 0.0359887, 282.843
0.0652441, 0.0359887, 282.843
0.108532, 0.0311521, 282.843
0.0993243, 0.0311521, 282.843
0.103155, 0.0308294, 282.843
0.100007, 0.0308294, 282.843
0.0892142, 0.0245418, 282.843
0.0740541, 0.0245418, 282.843
0.114563, 0.0266935, 282.843
0.111968, 0.0266935, 282.843
0.10022, 0.0268833, 282.843
0.101485, 0.0268833, 282.843
0.0812983, 0.0314286, 282.843
0.104337, 0.0314286, 282.843
0.114818, 0.0311419, 282.843
0.0490876, 0.0311419, 282.843
0.102191, 0.0217686, 282.843
0.10238, 0.0217686, 282.843
0.100608, 0.0325875, 282.843
0.0907288, 0.0325875, 282.843
0.0338806, 0.0309437, 282.843
0.113441, 0.0309437, 282.843
0.0882844, 0.0312757, 282.843
0.0984852, 0.0312757, 282.843
0.0638911, 0.0236521, 282.843
0.113684, 0.0236521, 282.843
0.0869032, 0.0215128, 282.843
0.0976866, 0.0215128, 282.843
0.0613138, 0.0248497, 282.843
0.104411, 0.0248497, 282.843
0.0426317, 0.0309171, 282.843
0.122514, 0.0309171, 282.843
0.0842451, 0.0313608, 282.843
0.10069, 0.0313608, 282.843
0.0318015, 0.0298987, 282.843
0.0946258, 0.0298987, 282.843
0.0534896, 0.0299374, 282.843
0.117957, 0.0299374, 282.843
0.112919, 0.0296822, 282.843
0.0978932, 0.0296822, 282.843
0.0872846, 0.0223126, 282.843
0.106205, 0.0223126, 282.843
0.0422458, 0.0259565, 282.843
0.115132, 0.0259565, 282.843
0.0979722, 0.0269269, 282.843
0.100661, 0.0269269, 282.843
0.0855641, 0.0361514, 282.843
0.0953004, 0.0361514, 282.843
0.102743, 0.0248083, 282.843
0.10591, 0.0248083, 282.843
0.101296, 0.0269694, 282.843
0.0983932, 0.0269694, 282.843
0.101004, 0.0258008, 282.843
0.0988498, 0.0258008, 282.843
0.067838, 0.0238359, 282.843
0.0978485, 0.0238359, 282.843
0.0986742, 0.0241124, 282.843
0.100474, 0.0241124, 282.843
0.0912852, 0.0289658, 282.843
0.098739, 0.0289658, 282.843
0.1077, 0.0369248, 282.843
0.103218, 0.0369248, 282.843
0.104102, 0.0355475, 282.843
0.106182, 0.0355475, 282.843
0.100034, 0.0294204, 282.843
0.0949903, 0.0294204, 282.843
0.0609826, 0.0347661, 282.843
0.102737, 0.0347661, 282.843
0.0979145, 0.0266697, 282.843
0.0722565, 0.0266697, 282.843
0.0642281, 0.0328346, 282.843
0.0950266, 0.0328346, 282.843
0.0944512, 0.028401, 282.843
0.092799, 0.028401, 282.843
0.0770168, 0.022207, 282.843
0.100592, 0.022207, 282.843
0.0667122, 0.0354307, 282.843
0.0993316, 0.0354307, 282.843
0.0943244, 0.0295707, 282.843
0.096702, 0.0295707, 282.843
0.0946205, 0.0316453, 282.843
0.0927273, 0.0316453, 282.843
0.10154, 0.0323367, 282.843
0.0702639, 0.0323367, 282.843
0.0521528, 0.0292863, 282.843
0.118597, 0.0292863, 282.843
0.101455, 0.0280899, 282.843
0.106122, 0.0280899, 282.843
0.10245, 0.0326848, 282.843
0.0974919, 0.0326848, 282.843
0.101991, 0.0289953, 282.843
0.0529849, 0.0289953, 282.843
0.0978954, 0.037613, 282.843
0.0960855, 0.037613, 282.843
0.0979327, 0.029318, 282.843
0.100557, 0.029318, 282.843
0.122569, 0.0275401, 282.843
0.0241163, 0.0275401, 282.843
0.10945, 0.0295654, 282.843
0.109698, 0.0295654, 282.843
0.117396, 0.029713, 282.843
0.0495429, 0.029713, 282.843
0.0948154, 0.0273709, 282.843
0.10122, 0.0273709, 282.843
0.0945367, 0.0299641, 282.843
0.0878313, 0.0299641, 282.843
0.0974193, 0.0297729, 282.843
0.0847959, 0.0297729, 282.843
0.0975416, 0.0331292, 282.843
0.106819, 0.0331292, 282.843
0.101279, 0.0315848, 282.843
0.100382, 0.0315848, 282.843
0.0979636, 0.0351352, 282.843
0.0905169, 0.0351352, 282.843
0.0838261, 0.0338619, 282.843
0.0879562, 0.0338619, 282.843
0.0718022, 0.0270622, 282.843
0.0913361, 0.0270622, 282.843
0.120244, 0.031864, 282.843
0.100802, 0.031864, 282.843
0.0604448, 0.0347967, 282.843
0.0904676, 0.0347967, 282.843
0.0710485, 0.0283475, 282.843
0.106037, 0.0283475, 282.843
0.106967, 0.0297396, 282.843
0.096882, 0.0297396, 282.843
0.102959, 0.0267084, 282.843
0.09675, 0.0267084, 282.843
0.0661253, 0.028223, 282.843
0.0991216, 0.028223, 282.843
0.0959181, 0.0274135, 282.843
0.100463, 0.0274135, 282.843
0.0977894, 0.0279958, 282.843
0.0942995, 0.0279958, 282.843
0.0633964, 0.0307849, 282.843
0.0963834, 0.0307849, 282.843
0.116971, 0.0291236, 282.843
0.127102, 0.0291236, 282.843
0.0639258, 0.0211793, 282.843
0.0874638, 0.0211793, 282.843
0.0903094, 0.023857, 282.843
0.0913742, 0.023857, 282.843
0.106221, 0.0291729, 282.843
0.114936, 0.0291729, 282.843
0.111971, 0.0263865, 282.843
0.126711, 0.0263865, 282.843
0.104343, 0.0351724, 282.843
0.106508, 0.0351724, 282.843
0.125196, 0.0283202, 282.843
0.0370843, 0.0283202, 282.843
0.099601, 0.0328259, 282.843
0.09175, 0.0328259, 282.843
0.0958298, 0.0322338, 282.843
0.0981033, 0.0322338, 282.843
0.0999914, 0.0308084, 282.843
0.092378, 0.0308084, 282.843
0.0989432, 0.0298394, 282.843
0.0992376, 0.0298394, 282.843
0.101026, 0.0267165, 282.843
0.106354, 0.0267165, 282.843
0.102947, 0.0315508, 282.843
0.0994113, 0.0315508, 282.843
0.117196, 0.0297635, 282.843
0.0511469, 0.0297635, 282.843
0.102237, 0.0256085, 282.843
0.0991276, 0.0256085, 282.843
0.0799595, 0.0346892, 282.843
0.0841183, 0.0346892, 282.843
0.0993729, 0.0324904, 282.843
0.1031, 0.0324904, 282.843
0.100281, 0.0279606, 282.843
0.0952425, 0.0279606, 282.843
0.108063, 0.0330362, 282.843
0.103326, 0.0330362, 282.843
0.113596, 0.0281809, 282.843
0.0489236, 0.0281809, 282.843
0.126959, 0.0262939, 282.843
0.0997977, 0.0262939, 282.843
0.10939, 0.0299579, 282.843
0.128984, 0.0299579, 282.843
0.096, 0.0300198, 282.843
0.0936259, 0.0300198, 282.843
0.0897331, 0.0286182, 282.843
0.0799179, 0.0286182, 282.843
0.099944, 0.0291444, 282.843
0.0653232, 0.0291444, 282.843
0.101724, 0.0240313, 282.843
0.103481, 0.0240313, 282.843
0.0989133, 0.032868, 282.843
0.0903975, 0.032868, 282.843
0.0377143, 0.0236634, 282.843
0.115841, 0.0236634, 282.843
0.081781, 0.0261412, 282.843
0.0818858, 0.0261412, 282.843
0.0813102, 0.0290427, 282.843
0.0976082, 0.0290427, 282.843
0.0755498, 0.0266924, 282.843
0.0896881, 0.0266924, 282.843
0.0592754, 0.0293501, 282.843
0.0917856, 0.0293501, 282.843
0.106665, 0.0350439, 282.843
0.101899, 0.0350439, 282.843
0.101039, 0.0258703, 282.843
0.101781, 0.0258703, 282.843
0.106827, 0.0242815, 282.843
0.0981376, 0.0242815, 282.843
0.102004, 0.0263847, 282.843
0.0994202, 0.0263847, 282.843
0.104475, 0.034414, 282.843
0.095305, 0.034414, 282.843
0.11366, 0.0355968, 282.843
0.102455, 0.0355968, 282.843
0.0749501, 0.029276, 282.843
0.116079, 0.029276, 282.843
0.0991382, 0.02186, 282.843
0.102652, 0.02186, 282.843
0.102039, 0.0267042, 282.843
0.0956774, 0.0267042, 282.843
0.108225, 0.0253627, 282.843
0.0964218, 0.0253627, 282.843
0.0558067, 0.024331, 282.843
0.0987476, 0.024331, 282.843
0.0975029, 0.0231405, 282.843
0.0961685, 0.0231405, 282.843
0.0768537, 0.0344555, 282.843
0.0958479, 0.0344555, 282.843
0.120476, 0.029867, 282.843
0.116107, 0.029867, 282.843
0.0706378, 0.0254396, 282.843
0.0881108, 0.0254396, 282.843
0.106101, 0.0287579, 282.843
0.119847, 0.0287579, 282.843
0.104893, 0.0322042, 282.843
0.10261, 0.0322042, 282.843
0.109195, 0.0282188, 282.843
0.0345384, 0.0282188, 282.843
0.0970123, 0.0232898, 282.843
0.0681589, 0.0232898, 282.843
0.059521, 0.0293267, 282.843
0.105668, 0.0293267, 282.843
0.0989509, 0.0255653, 282.843
0.0974678, 0.0255653, 282.843
0.113049, 0.0242894, 282.843
0.101896, 0.0242894, 282.843
0.0950795, 0.0344342, 282.843
0.0978712, 0.0344342, 282.843
0.110184, 0.0381469, 282.843
0.0938152, 0.0381469, 282.843
0.0682738, 0.0241058, 282.843
0.095508, 0.0241058, 282.843
0.0927243, 0.0312926, 282.843
0.0970601, 0.0312926, 282.843
0.104997, 0.0310524, 282.843
0.09788, 0.0310524, 282.843
0.0718295, 0.0330991, 282.843
0.0976296, 0.0330991, 282.843
0.102245, 0.0286819, 282.843
0.0985844, 0.0286819, 282.843
0.107943, 0.0386179, 282.843
0.109592, 0.0386179, 282.843
0.0981524, 0.0390414, 282.843
0.0986761, 0.0390414, 282.843
0.106847, 0.0304404, 282.843
0.103685, 0.0304404, 282.843
0.105529, 0.0247267, 282.843
0.104836, 0.0247267, 282.843
0.100883, 0.0256912, 282.843
0.0990762, 0.0256912, 282.843
0.081745, 0.0241291, 282.843
0.0995077, 0.0241291, 282.843
0.0984217, 0.0236604, 282.843
0.0787658, 0.0236604, 282.843
0.0588936, 0.0234671, 282.843
0.113946, 0.0234671, 282.843
0.099843, 0.0363728, 282.843
0.0954669, 0.0363728, 282.843
0.0878187, 0.0287312, 282.843
0.0953889, 0.0287312, 282.843
0.102485, 0.036152, 282.843
0.103049, 0.036152, 282.843
0.0982317, 0.0276865, 282.843
0.0925737, 0.0276865, 282.843
0.0903037, 0.0349097, 282.843
0.0898982, 0.0349097, 282.843
0.0840289, 0.0275543, 282.843
0.0942673, 0.0275543, 282.843
0.0429687, 0.0281425, 282.843
0.118073, 0.0281425, 282.843
0.0336748, 0.0249431, 282.843
0.120168, 0.0249431, 282.843
0.0704618, 0.0306097, 282.843
