radius, weight, alpha
0.0953027, 0.0238535, 282.843
0.0929872, 0.0238535, 282.843
0.11321, 0.0301005, 282.843
0.06139, 0.0301005, 282.843
0.106657, 0.0331756, 282.843
0.111502, 0.0331756, 282.843
0.102588, 0.0384328, 282.843
0.110412, 0.0384328, 282.843
0.108972, 0.0255818, 282.843
0.0513992, 0.0255818, 282.843
0.125366, 0.0264678, 282.843
0.0428588, 0.0264678, 282.843
0.0898893, 0.0309751, 282.843
0.100853, 0.0309751, 282.843
0.0996619, 0.0310038, 282.843
0.0976698, 0.0310038, 282.843
0.0895263, 0.0206852, 282.843
0.0659283, 0.0206852, 282.843
0.0842213, 0.0329115, 282.843
0.0716966, 0.0329115, 282.843
0.122895, 0.0276571, 282.843
0.0514342, 0.0276571, 282.843
0.0924704, 0.0285992, 282.843
0.0843252, 0.0285992, 282.843
0.107974, 0.0232601, 282.843
0.0526857, 0.0232601, 282.843
0.0976894, 0.0336165, 282.843
0.0564907, 0.0336165, 282.843
0.0943782, 0.022334, 282.843
0.0840629, 0.022334, 282.843
0.0977029, 0.0326258, 282.843
0.0913326, 0.0326258, 282.843
0.0324436, 0.0309957, 282.843
0.113808, 0.0309957, 282.843
0.0880444, 0.0325718, 282.843
0.0974524, 0.0325718, 282.843
0.0622329, 0.0230032, 282.843
0.0986924, 0.0230032, 282.843
0.10523, 0.0222732, 282.843
0.101519, 0.0222732, 282.843
0.0448144, 0.0350239, 282.843
0.110247, 0.0350239, 282.843
0.0431154, 0.0297013, 282.843
0.123479, 0.0297013, 282.843
0.0704791, 0.0283858, 282.843
0.1007, 0.0283858, 282.843
0.0544524, 0.0225862, 282.843
0.0968202, 0.0225862, 282.843
0.0515948, 0.0282267, 282.843
0.116494, 0.0282267, 282.843
0.0861554, 0.0271886, 282.843
0.0929863, 0.0271886, 282.843
0.0775682, 0.0234746, 282.843
0.0981931, 0.0234746, 282.843
0.0442047, 0.0272209, 282.843
0.116792, 0.0272209, 282.843
0.104191, 0.0270557, 282.843
0.105019, 0.0270557, 282.843
0.0792306, 0.0349746, 282.843
0.0872995, 0.0349746, 282.843
0.0987846, 0.0250773, 282.843
0.101658, 0.0250773, 282.843
0.0944637, 0.0270292, 282.843
0.0931829, 0.0270292, 282.843
0.0987002, 0.0278662, 282.843
0.116422, 0.0278662, 282.843
0.0657804, 0.0258505, 282.843
0.0934207, 0.0258505, 282.843
0.0992427, 0.0239893, 282.843
0.0984118, 0.0239893, 282.843
0.0796047, 0.0271971, 282.843
0.0980386, 0.0271971, 282.843
0.0994697, 0.037323, 282.843
0.0941058, 0.037323, 282.843
0.0804704, 0.0214795, 282.843
0.0632337, 0.0214795, 282.843
0.100074, 0.0360976, 282.843
0.0984537, 0.0360976, 282.843
0.0998686, 0.0298328, 282.843
0.0968993, 0.0298328, 282.843
0.0670532, 0.0239305, 282.843
0.0880141, 0.0239305, 282.843
0.0594099, 0.0355159, 282.843
0.0982328, 0.0355159, 282.843
0.085416, 0.0303755, 282.843
0.0723531, 0.0303755, 282.843
0.0647316, 0.0343743, 282.843
0.099545, 0.0343743, 282.843
0.0945763, 0.0285828, 282.843
