radius, weight, alpha
0.0970108, 0.0237699, 282.843
0.0960651, 0.0237699, 282.843
0.115921, 0.0321538, 282.843
0.0491541, 0.0321538, 282.843
0.103551, 0.0333064, 282.843
0.107981, 0.0333064, 282.843
0.103615, 0.0384831, 282.843
0.111922, 0.0384831, 282.843
0.103212, 0.0252758, 282.843
0.0659458, 0.0252758, 282.843
0.125544, 0.030055, 282.843
0.0436934, 0.030055, 282.843
0.10288, 0.0306469, 282.843
0.100162, 0.0306469, 282.843
0.100878, 0.0309612, 282.843
0.098791, 0.0309612, 282.843
0.0871159, 0.0333565, 282.843
0.0713862, 0.0333565, 282.843
0.115487, 0.0285824, 282.843
0.0534662, 0.0285824, 282.843
0.0963944, 0.0279619, 282.843
0.0921283, 0.0279619, 282.843
0.0893013, 0.0218099, 282.843
0.104975, 0.0218099, 282.843
0.106004, 0.0330171, 282.843
0.0587838, 0.0330171, 282.843
0.0991187, 0.0220167, 282.843
0.105447, 0.0220167, 282.843
0.100075, 0.0323728, 282.843
0.092356, 0.0323728, 282.843
0.0329644, 0.0311069, 282.843
0.113786, 0.0311069, 282.843
0.0887074, 0.0321758, 282.843
0.0970895, 0.0321758, 282.843
0.065791, 0.0240209, 282.843
0.111359, 0.0240209, 282.843
0.112342, 0.0219119, 282.843
0.105599, 0.0219119, 282.843
0.0502052, 0.0310217, 282.843
0.108502, 0.0310217, 282.843
0.042057, 0.0299669, 282.843
0.125725, 0.0299669, 282.843
0.0718631, 0.0292341, 282.843
0.100378, 0.0292341, 282.843
0.0428591, 0.029202, 282.843
0.0978818, 0.029202, 282.843
0.0536207, 0.0287685, 282.843
0.116991, 0.0287685, 282.843
0.113572, 0.0292032, 282.843
0.0957391, 0.0292032, 282.843
0.0791654, 0.0229233, 282.843
0.100518, 0.0229233, 282.843
0.0431671, 0.0270516, 282.843
0.116315, 0.0270516, 282.843
0.102915, 0.0270023, 282.843
0.102355, 0.0270023, 282.843
0.0813374, 0.0355244, 282.843
0.0911412, 0.0355244, 282.843
0.100909, 0.0249866, 282.843
0.103652, 0.0249866, 282.843
0.0988068, 0.0269822, 282.843
0.0955405, 0.0269822, 282.843
0.0991454, 0.0275106, 282.843
0.112544, 0.0275106, 282.843
0.0680275, 0.0251364, 282.843
0.095941, 0.0251364, 282.843
0.0993876, 0.0240706, 282.843
0.0991947, 0.0240706, 282.843
0.0825226, 0.0280273, 282.843
0.0980625, 0.0280273, 282.843
0.104843, 0.0371102, 282.843
0.0969436, 0.0371102, 282.843
0.101141, 0.0358205, 282.843
0.101443, 0.0358205, 282.843
0.101285, 0.0295647, 282.843
0.0985204, 0.0295647, 282.843
0.0669302, 0.0219375, 282.843
0.0900329, 0.0219375, 282.843
0.0602481, 0.0352705, 282.843
0.0994966, 0.0352705, 282.843
0.0892483, 0.029512, 282.843
0.0720892, 0.029512, 282.843
0.0645623, 0.0348488, 282.843
0.0953539, 0.0348488, 282.843
0.094558, 0.0285603, 282.843
0.0920526, 0.0285603, 282.843
0.0959894, 0.0218035, 282.843
0.110229, 0.0218035, 282.843
0.0700351, 0.0264728, 282.843
0.0945853, 0.0264728, 282.843
0.0917615, 0.029464, 282.843
0.095318, 0.029464, 282.843
0.112225, 0.029118, 282.843
0.0999649, 0.029118, 282.843
0.0587445, 0.0224613, 282.843
0.102827, 0.0224613, 282.843
0.100007, 0.0319047, 282.843
0.0696105, 0.0319047, 282.843
0.049266, 0.0285056, 282.843
0.117431, 0.0285056, 282.843
0.0994008, 0.0289491, 282.843
0.101092, 0.0289491, 282.843
