radius, weight, alpha
0.0979722, 0.023663, 282.843
0.0953374, 0.023663, 282.843
0.10721, 0.0254614, 282.843
0.057205, 0.0254614, 282.843
0.104301, 0.0333607, 282.843
0.103816, 0.0333607, 282.843
0.103959, 0.0290012, 282.843
0.108786, 0.0290012, 282.843
0.102386, 0.0266427, 282.843
0.078407, 0.0266427, 282.843
0.093866, 0.0366143, 282.843
0.0727989, 0.0366143, 282.843
0.0987666, 0.0298033, 282.843
0.102354, 0.0298033, 282.843
0.103903, 0.0310553, 282.843
0.0981171, 0.0310553, 282.843
0.0936011, 0.025514, 282.843
0.0818894, 0.025514, 282.843
0.116645, 0.0263883, 282.843
0.0979516, 0.0263883, 282.843
0.103488, 0.0263077, 282.843
0.101933, 0.0263077, 282.843
0.118594, 0.0333112, 282.843
0.0431207, 0.0333112, 282.843
0.100103, 0.021706, 282.843
0.101863, 0.021706, 282.843
0.102841, 0.0324943, 282.843
0.0938321, 0.0324943, 282.843
0.0335243, 0.029007, 282.843
0.112082, 0.029007, 282.843
0.0924581, 0.0305922, 282.843
0.0998866, 0.0305922, 282.843
0.0393845, 0.030582, 282.843
0.119458, 0.030582, 282.843
0.0580619, 0.0238229, 282.843
0.0995655, 0.0238229, 282.843
0.0600589, 0.026563, 282.843
0.0978252, 0.026563, 282.843
0.0448035, 0.0281779, 282.843
0.119175, 0.0281779, 282.843
0.0871218, 0.0317105, 282.843
0.0998798, 0.0317105, 282.843
0.0347459, 0.0255821, 282.843
0.114226, 0.0255821, 282.843
0.0497881, 0.0336533, 282.843
0.120182, 0.0336533, 282.843
0.104783, 0.0295271, 282.843
0.0980078, 0.0295271, 282.843
0.0801213, 0.0207568, 282.843
0.100578, 0.0207568, 282.843
0.0426562, 0.0247345, 282.843
0.116976, 0.0247345, 282.843
0.0954611, 0.0267977, 282.843
0.100778, 0.0267977, 282.843
0.0892215, 0.0369312, 282.843
0.10665, 0.0369312, 282.843
0.104127, 0.0246568, 282.843
0.105466, 0.0246568, 282.843
0.10101, 0.0269788, 282.843
0.0995608, 0.0269788, 282.843
0.106974, 0.0242927, 282.843
0.101467, 0.0242927, 282.843
0.068747, 0.027203, 282.843
0.0980194, 0.027203, 282.843
0.0976917, 0.0241532, 282.843
0.100191, 0.0241532, 282.843
0.0817995, 0.0263711, 282.843
0.104128, 0.0263711, 282.843
0.107932, 0.0365476, 282.843
0.107267, 0.0365476, 282.843
0.104584, 0.0352767, 282.843
0.104901, 0.0352767, 282.843
0.104949, 0.0292465, 282.843
0.106931, 0.0292465, 282.843
0.0590546, 0.032722, 282.843
0.102994, 0.032722, 282.843
0.105416, 0.0257848, 282.843
0.0583257, 0.0257848, 282.843
0.0688702, 0.0348404, 282.843
0.0987571, 0.0348404, 282.843
0.096645, 0.0286637, 282.843
0.0942201, 0.0286637, 282.843
0.1123, 0.0288129, 282.843
0.102808, 0.0288129, 282.843
0.0676083, 0.0277809, 282.843
0.103018, 0.0277809, 282.843
0.0895259, 0.0291856, 282.843
0.0968177, 0.0291856, 282.843
0.117562, 0.0306106, 282.843
0.105102, 0.0306106, 282.843
0.0980527, 0.0306391, 282.843
0.0703516, 0.0306391, 282.843
0.0705671, 0.0276428, 282.843
0.107063, 0.0276428, 282.843
0.106928, 0.027216, 282.843
0.109523, 0.027216, 282.843
0.103003, 0.0322601, 282.843
0.0989485, 0.0322601, 282.843
0.103559, 0.0290921, 282.843
0.0552112, 0.0290921, 282.843
0.101919, 0.0375879, 282.843
0.0991091, 0.0375879, 282.843
0.10287, 0.0287965, 282.843
0.104806, 0.0287965, 282.843
0.107692, 0.0239102, 282.843
0.0586569, 0.0239102, 282.843
0.100476, 0.0303618, 282.843
0.103652, 0.0303618, 282.843
0.108734, 0.021904, 282.843
0.0533839, 0.021904, 282.843
0.0900799, 0.0254967, 282.843
0.102017, 0.0254967, 282.843
0.0970651, 0.0291403, 282.843
0.0899967, 0.0291403, 282.843
0.0982708, 0.0300886, 282.843
0.0965335, 0.0300886, 282.843
0.0940722, 0.0322518, 282.843
0.103332, 0.0322518, 282.843
0.102002, 0.0314673, 282.843
0.102686, 0.0314673, 282.843
0.101711, 0.0349458, 282.843
0.0960229, 0.0349458, 282.843
0.0869271, 0.0366785, 282.843
0.0887545, 0.0366785, 282.843
0.0725644, 0.0258327, 282.843
0.0912319, 0.0258327, 282.843
0.115095, 0.030732, 282.843
0.102497, 0.030732, 282.843
0.054707, 0.0275606, 282.843
0.0972798, 0.0275606, 282.843
0.069418, 0.0305153, 282.843
0.103725, 0.0305153, 282.843
0.107151, 0.0291868, 282.843
0.0985824, 0.0291868, 282.843
0.107415, 0.0266364, 282.843
0.100346, 0.0266364, 282.843
0.0645578, 0.0277342, 282.843
0.0961087, 0.0277342, 282.843
0.0979746, 0.0269589, 282.843
0.101415, 0.0269589, 282.843
0.0970016, 0.027987, 282.843
0.0948457, 0.027987, 282.843
0.0603044, 0.0278246, 282.843
0.0999616, 0.0278246, 282.843
0.116129, 0.029115, 282.843
0.11671, 0.029115, 282.843
0.0922327, 0.0248437, 282.843
0.0921679, 0.0248437, 282.843
0.107956, 0.028722, 282.843
0.122049, 0.028722, 282.843
0.108911, 0.0269056, 282.843
0.109035, 0.0269056, 282.843
0.105058, 0.0350733, 282.843
0.106943, 0.0350733, 282.843
0.116983, 0.0346836, 282.843
0.0399919, 0.0346836, 282.843
0.100199, 0.0327764, 282.843
0.0935908, 0.0327764, 282.843
0.0945324, 0.032284, 282.843
0.0990103, 0.032284, 282.843
0.102088, 0.0308029, 282.843
0.0970522, 0.0308029, 282.843
0.101513, 0.0284214, 282.843
0.100304, 0.0284214, 282.843
0.101617, 0.0271905, 282.843
0.103943, 0.0271905, 282.843
0.101863, 0.0314941, 282.843
0.0955984, 0.0314941, 282.843
0.106712, 0.0238111, 282.843
0.112494, 0.0238111, 282.843
0.10149, 0.0253928, 282.843
0.0997888, 0.0253928, 282.843
0.0849675, 0.0293832, 282.843
0.0897174, 0.0293832, 282.843
0.102927, 0.0325493, 282.843
0.108756, 0.0325493, 282.843
0.100162, 0.0275854, 282.843
0.0925322, 0.0275854, 282.843
0.0995868, 0.0320738, 282.843
0.0989252, 0.0320738, 282.843
0.108845, 0.033273, 282.843
0.0505874, 0.033273, 282.843
0.115682, 0.0239649, 282.843
0.0925466, 0.0239649, 282.843
0.0773455, 0.0224435, 282.843
0.110452, 0.0224435, 282.843
0.0947952, 0.029482, 282.843
0.0928806, 0.029482, 282.843
0.0932812, 0.0267956, 282.843
0.0824429, 0.0267956, 282.843
0.099554, 0.0271089, 282.843
0.0961771, 0.0271089, 282.843
0.101755, 0.0240609, 282.843
0.112527, 0.0240609, 282.843
0.102376, 0.0327228, 282.843
0.0946751, 0.0327228, 282.843
0.0316489, 0.0275332, 282.843
0.127431, 0.0275332, 282.843
0.0838213, 0.0253353, 282.843
0.0805067, 0.0253353, 282.843
0.0874498, 0.0287753, 282.843
0.0992382, 0.0287753, 282.843
0.0765405, 0.0307917, 282.843
0.0895219, 0.0307917, 282.843
0.060947, 0.0272904, 282.843
0.0928625, 0.0272904, 282.843
0.104761, 0.034853, 282.843
0.101325, 0.034853, 282.843
0.105508, 0.0270375, 282.843
0.0991224, 0.0270375, 282.843
0.112179, 0.0248656, 282.843
0.098742, 0.0248656, 282.843
0.104892, 0.0267411, 282.843
0.0993651, 0.0267411, 282.843
0.104455, 0.0354804, 282.843
0.0977561, 0.0354804, 282.843
0.110541, 0.0353685, 282.843
0.10728, 0.0353685, 282.843
0.0787794, 0.0301303, 282.843
0.102698, 0.0301303, 282.843
0.101252, 0.0216324, 282.843
0.102891, 0.0216324, 282.843
0.105454, 0.0253305, 282.843
0.0974295, 0.0253305, 282.843
0.115398, 0.0249715, 282.843
0.0971494, 0.0249715, 282.843
0.0516723, 0.0282402, 282.843
0.101108, 0.0282402, 282.843
0.0967649, 0.0231297, 282.843
0.0961143, 0.0231297, 282.843
0.0710945, 0.0313788, 282.843
0.0990022, 0.0313788, 282.843
0.115874, 0.029641, 282.843
0.124672, 0.029641, 282.843
0.0694751, 0.0262218, 282.843
0.0887186, 0.0262218, 282.843
0.106597, 0.0284331, 282.843
0.11434, 0.0284331, 282.843
0.107772, 0.0320954, 282.843
0.12348, 0.0320954, 282.843
0.119055, 0.0360873, 282.843
0.0416089, 0.0360873, 282.843
0.0951253, 0.0217723, 282.843
0.0742613, 0.0217723, 282.843
0.0772057, 0.0350777, 282.843
0.101073, 0.0350777, 282.843
0.100593, 0.025477, 282.843
0.0987559, 0.025477, 282.843
0.100932, 0.0255954, 282.843
0.101015, 0.0255954, 282.843
0.0921913, 0.0343186, 282.843
0.0977297, 0.0343186, 282.843
0.109626, 0.0377302, 282.843
0.10077, 0.0377302, 282.843
0.0685104, 0.0272099, 282.843
0.09746, 0.0272099, 282.843
0.0908721, 0.0306433, 282.843
0.0963913, 0.0306433, 282.843
0.104653, 0.0311444, 282.843
0.0962554, 0.0311444, 282.843
0.0954684, 0.0322452, 282.843
0.0989637, 0.0322452, 282.843
0.102685, 0.0283736, 282.843
0.0996224, 0.0283736, 282.843
0.106543, 0.0383156, 282.843
0.109122, 0.0383156, 282.843
0.101883, 0.0390666, 282.843
0.102368, 0.0390666, 282.843
0.11162, 0.0296644, 282.843
0.10475, 0.0296644, 282.843
0.1057, 0.0246427, 282.843
0.107142, 0.0246427, 282.843
0.101295, 0.0255751, 282.843
0.100811, 0.0255751, 282.843
0.0816968, 0.0263933, 282.843
0.0997132, 0.0263933, 282.843
0.100334, 0.0281504, 282.843
0.119477, 0.0281504, 282.843
0.087393, 0.0212249, 282.843
0.123797, 0.0212249, 282.843
0.101464, 0.035743, 282.843
0.0973512, 0.035743, 282.843
0.0876918, 0.0262407, 282.843
0.0951969, 0.0262407, 282.843
0.102989, 0.0359827, 282.843
0.10203, 0.0359827, 282.843
0.102829, 0.0275241, 282.843
0.0998153, 0.0275241, 282.843
0.0926653, 0.0360153, 282.843
0.0909417, 0.0360153, 282.843
0.0832503, 0.0268138, 282.843
0.0939051, 0.0268138, 282.843
0.0572625, 0.0264813, 282.843
0.108209, 0.0264813, 282.843
0.0398121, 0.0270483, 282.843
0.106243, 0.0270483, 282.843
0.063807, 0.0262073, 282.843
