radius, weight, alpha
0.354093, 0.0370339, 282.843
0.0493012, 0.0370339, 282.843
0.5, 0.0219408, 282.843
0.0428766, 0.0219408, 282.843
0.5, 0.0252935, 282.843
0.0427005, 0.0252935, 282.843
0.5, 0.0264389, 282.843
0.0297313, 0.0264389, 282.843
0.5, 0.0224435, 282.843
0.0364453, 0.0224435, 282.843
0.5, 0.0221324, 282.843
0.0364115, 0.0221324, 282.843
0.5, 0.0250089, 282.843
0.0409531, 0.0250089, 282.843
0.5, 0.0320555, 282.843
0.0407922, 0.0320555, 282.843
0.5, 0.0345791, 282.843
0.0399438, 0.0345791, 282.843
0.5, 0.025403, 282.843
0.0268873, 0.025403, 282.843
0.5, 0.0232182, 282.843
0.0356279, 0.0232182, 282.843
0.474572, 0.0245233, 282.843
0.0236442, 0.0245233, 282.843
0.301637, 0.0317739, 282.843
0.0425131, 0.0317739, 282.843
0.5, 0.033966, 282.843
0.0497976, 0.033966, 282.843
0.5, 0.0248071, 282.843
0.0267915, 0.0248071, 282.843
0.5, 0.0332343, 282.843
0.0363761, 0.0332343, 282.843
0.189854, 0.0268525, 282.843
0.0271279, 0.0268525, 282.843
0.257128, 0.0307769, 282.843
0.0834057, 0.0307769, 282.843
0.0676528, 0.0297863, 282.843
0.115831, 0.0297863, 282.843
0.155857, 0.0273358, 282.843
0.182416, 0.0273358, 282.843
0.0972349, 0.0330631, 282.843
0.112124, 0.0330631, 282.843
0.127448, 0.0307892, 282.843
0.177252, 0.0307892, 282.843
0.0399027, 0.0279599, 282.843
0.197213, 0.0279599, 282.843
0.0183489, 0.0291896, 282.843
0.34831, 0.0291896, 282.843
0.173609, 0.0366617, 282.843
0.116796, 0.0366617, 282.843
0.0292195, 0.0347048, 282.843
0.412319, 0.0347048, 282.843
0.113051, 0.0278859, 282.843
0.148249, 0.0278859, 282.843
0.0843975, 0.0351166, 282.843
0.109658, 0.0351166, 282.843
0.0723873, 0.0313541, 282.843
0.186895, 0.0313541, 282.843
0.0197741, 0.02988, 282.843
0.324833, 0.02988, 282.843
0.0204276, 0.0317489, 282.843
0.444378, 0.0317489, 282.843
0.0851885, 0.0353038, 282.843
0.107146, 0.0353038, 282.843
0.111222, 0.0279814, 282.843
0.147377, 0.0279814, 282.843
0.0718922, 0.0273379, 282.843
0.148326, 0.0273379, 282.843
0.10638, 0.0286857, 282.843
0.154071, 0.0286857, 282.843
0.0172816, 0.0259577, 282.843
0.418914, 0.0259577, 282.843
0.112055, 0.0296945, 282.843
0.111685, 0.0296945, 282.843
0.44577, 0.0350703, 282.843
0.155773, 0.0350703, 282.843
0.0302734, 0.0336904, 282.843
0.333048, 0.0336904, 282.843
0.18, 0.0360866, 282.843
0.117808, 0.0360866, 282.843
0.0200448, 0.0310596, 282.843
0.440079, 0.0310596, 282.843
0.0429124, 0.0348231, 282.843
0.138122, 0.0348231, 282.843
0.27443, 0.0289196, 282.843
0.117112, 0.0289196, 282.843
0.0183354, 0.0303043, 282.843
0.410282, 0.0303043, 282.843
0.5, 0.0354317, 282.843
0.0631908, 0.0354317, 282.843
0.5, 0.0222466, 282.843
0.0881839, 0.0222466, 282.843
0.427699, 0.0257791, 282.843
0.0901435, 0.0257791, 282.843
0.0848566, 0.0287174, 282.843
0.0443434, 0.0287174, 282.843
0.5, 0.0297649, 282.843
0.0644358, 0.0297649, 282.843
0.366802, 0.0229069, 282.843
0.0721912, 0.0229069, 282.843
0.5, 0.0246045, 282.843
0.080985, 0.0246045, 282.843
0.0669091, 0.0293111, 282.843
0.0709061, 0.0293111, 282.843
0.0611189, 0.0307903, 282.843
0.0892533, 0.0307903, 282.843
0.291483, 0.0301063, 282.843
0.0453812, 0.0301063, 282.843
0.239692, 0.0220948, 282.843
0.0593252, 0.0220948, 282.843
0.0521516, 0.0252677, 282.843
0.065819, 0.0252677, 282.843
0.5, 0.0323587, 282.843
0.0595375, 0.0323587, 282.843
0.0870686, 0.0345269, 282.843
0.0622374, 0.0345269, 282.843
0.0626655, 0.0299817, 282.843
0.0745973, 0.0299817, 282.843
0.167964, 0.0375077, 282.843
0.0576973, 0.0375077, 282.843
