radius, weight, alpha
0.0941574, 0.0238877, 282.843
0.092242, 0.0238877, 282.843
0.113129, 0.0293991, 282.843
0.0631524, 0.0293991, 282.843
0.107599, 0.0331634, 282.843
0.113301, 0.0331634, 282.843
0.101887, 0.0384028, 282.843
0.110084, 0.0384028, 282.843
0.115808, 0.0241992, 282.843
0.0405733, 0.0241992, 282.843
0.124641, 0.0249679, 282.843
0.0403363, 0.0249679, 282.843
0.0907289, 0.031206, 282.843
0.102591, 0.031206, 282.843
0.0988895, 0.0310168, 282.843
0.0968414, 0.0310168, 282.843
0.087373, 0.0219534, 282.843
0.0652127, 0.0219534, 282.843
0.0827995, 0.0327724, 282.843
0.0730706, 0.0327724, 282.843
0.123074, 0.0268548, 282.843
0.0531976, 0.0268548, 282.843
0.0908972, 0.0288944, 282.843
0.0810523, 0.0288944, 282.843
0.109623, 0.024127, 282.843
0.0513696, 0.024127, 282.843
0.096601, 0.0335858, 282.843
0.0563132, 0.0335858, 282.843
0.0925084, 0.0221935, 282.843
0.0579842, 0.0221935, 282.843
0.0958075, 0.0327505, 282.843
0.090115, 0.0327505, 282.843
0.0325711, 0.03091, 282.843
0.114193, 0.03091, 282.843
0.0866721, 0.0326851, 282.843
0.0983948, 0.0326851, 282.843
0.0611576, 0.0323205, 282.843
0.0942347, 0.0323205, 282.843
0.102195, 0.0224656, 282.843
0.0985789, 0.0224656, 282.843
0.032684, 0.0266416, 282.843
0.105876, 0.0266416, 282.843
0.0431264, 0.0298162, 282.843
0.121986, 0.0298162, 282.843
0.0693689, 0.0276005, 282.843
0.101907, 0.0276005, 282.843
0.0564822, 0.0249456, 282.843
0.0947381, 0.0249456, 282.843
0.0505416, 0.0279838, 282.843
0.116694, 0.0279838, 282.843
0.0801264, 0.0362299, 282.843
0.09124, 0.0362299, 282.843
0.0775345, 0.0238183, 282.843
0.0976442, 0.0238183, 282.843
0.0452077, 0.0270965, 282.843
0.116884, 0.0270965, 282.843
0.104703, 0.0270805, 282.843
0.106453, 0.0270805, 282.843
0.0784423, 0.0347411, 282.843
0.0863253, 0.0347411, 282.843
0.0965933, 0.0251267, 282.843
0.0970615, 0.0251267, 282.843
0.0925432, 0.0270679, 282.843
0.0917719, 0.0270679, 282.843
0.0995155, 0.028208, 282.843
0.112751, 0.028208, 282.843
0.0652857, 0.026081, 282.843
0.0915763, 0.026081, 282.843
0.0991219, 0.0239825, 282.843
0.0983584, 0.0239825, 282.843
0.0863932, 0.0361835, 282.843
0.101011, 0.0361835, 282.843
0.0979627, 0.0374443, 282.843
0.0929103, 0.0374443, 282.843
0.0789518, 0.0223374, 282.843
0.0613363, 0.0223374, 282.843
0.0993497, 0.0361974, 282.843
0.0972263, 0.0361974, 282.843
0.0987426, 0.0300038, 282.843
0.0949567, 0.0300038, 282.843
0.068157, 0.0245939, 282.843
0.0876753, 0.0245939, 282.843
0.0585234, 0.0356198, 282.843
0.0975054, 0.0356198, 282.843
0.0840262, 0.0306736, 282.843
0.0726957, 0.0306736, 282.843
0.0636882, 0.034135, 282.843
0.101472, 0.034135, 282.843
0.0927402, 0.0285765, 282.843
0.0894431, 0.0285765, 282.843
0.0941303, 0.0237313, 282.843
0.117659, 0.0237313, 282.843
0.069074, 0.0272089, 282.843
0.0910172, 0.0272089, 282.843
0.0878095, 0.0296936, 282.843
0.0920558, 0.0296936, 282.843
0.0978355, 0.0373038, 282.843
0.102695, 0.0373038, 282.843
0.0642797, 0.0248461, 282.843
0.0977671, 0.0248461, 282.843
0.100341, 0.0325126, 282.843
0.0809655, 0.0325126, 282.843
0.043668, 0.0256416, 282.843
0.122725, 0.0256416, 282.843
0.0986158, 0.0292858, 282.843
0.110059, 0.0292858, 282.843
0.0975348, 0.0332378, 282.843
0.0993954, 0.0332378, 282.843
0.0969899, 0.0273528, 282.843
0.0463496, 0.0273528, 282.843
0.0975821, 0.0374298, 282.843
0.0968761, 0.0374298, 282.843
0.0994557, 0.0261199, 282.843
0.112869, 0.0261199, 282.843
0.0904723, 0.0297916, 282.843
0.0935808, 0.0297916, 282.843
0.128986, 0.0237588, 282.843
0.0381871, 0.0237588, 282.843
0.107656, 0.0307436, 282.843
0.105896, 0.0307436, 282.843
0.104611, 0.0350233, 282.843
0.053782, 0.0350233, 282.843
0.0884346, 0.0260871, 282.843
0.0934811, 0.0260871, 282.843
0.0867171, 0.030892, 282.843
0.0829604, 0.030892, 282.843
0.108445, 0.0262377, 282.843
0.0679123, 0.0262377, 282.843
0.096674, 0.0341975, 282.843
0.102639, 0.0341975, 282.843
0.0961987, 0.0317393, 282.843
0.091651, 0.0317393, 282.843
0.0981569, 0.0355749, 282.843
0.0908134, 0.0355749, 282.843
0.0847175, 0.0334274, 282.843
0.0851601, 0.0334274, 282.843
0.0670154, 0.0267847, 282.843
0.0924961, 0.0267847, 282.843
0.102984, 0.0292739, 282.843
0.107305, 0.0292739, 282.843
0.0683827, 0.0289079, 282.843
0.0900174, 0.0289079, 282.843
0.0776073, 0.0269724, 282.843
0.101265, 0.0269724, 282.843
0.103239, 0.0293516, 282.843
0.0964903, 0.0293516, 282.843
0.101302, 0.0263944, 282.843
0.096245, 0.0263944, 282.843
0.053239, 0.0256839, 282.843
0.11063, 0.0256839, 282.843
0.0937291, 0.0280738, 282.843
0.108229, 0.0280738, 282.843
0.0946483, 0.0279502, 282.843
0.0929595, 0.0279502, 282.843
0.0643529, 0.0291531, 282.843
0.095498, 0.0291531, 282.843
0.103868, 0.0300445, 282.843
0.123319, 0.0300445, 282.843
0.0658486, 0.0255506, 282.843
0.0844947, 0.0255506, 282.843
0.0902726, 0.0227661, 282.843
0.0913002, 0.0227661, 282.843
0.105546, 0.0302505, 282.843
0.125419, 0.0302505, 282.843
0.111303, 0.0264719, 282.843
0.112319, 0.0264719, 282.843
0.100418, 0.0355471, 282.843
0.100479, 0.0355471, 282.843
0.111693, 0.0268113, 282.843
0.0742856, 0.0268113, 282.843
0.0941573, 0.0328709, 282.843
0.0899099, 0.0328709, 282.843
0.0894206, 0.032325, 282.843
0.0913908, 0.032325, 282.843
0.0879947, 0.0305618, 282.843
0.0861582, 0.0305618, 282.843
0.104948, 0.0299675, 282.843
0.106437, 0.0299675, 282.843
0.0992881, 0.0262363, 282.843
0.103656, 0.0262363, 282.843
0.101214, 0.03091, 282.843
0.115652, 0.03091, 282.843
0.115584, 0.0291967, 282.843
0.0452436, 0.0291967, 282.843
0.126749, 0.0305632, 282.843
