radius, weight, alpha
0.5, 0.0228349, 282.843
0.0230972, 0.0228349, 282.843
0.5, 0.0289779, 282.843
0.0282221, 0.0289779, 282.843
0.5, 0.03352, 282.843
0.0342037, 0.03352, 282.843
0.5, 0.025269, 282.843
0.0335048, 0.025269, 282.843
0.5, 0.0267268, 282.843
0.0227524, 0.0267268, 282.843
0.5, 0.0267866, 282.843
0.0232371, 0.0267866, 282.843
0.5, 0.0290125, 282.843
0.0381608, 0.0290125, 282.843
0.5, 0.0235738, 282.843
0.0433391, 0.0235738, 282.843
0.5, 0.0309915, 282.843
0.0574353, 0.0309915, 282.843
0.5, 0.0309915, 282.843
0.0451669, 0.0309915, 282.843
0.5, 0.0359289, 282.843
0.0616435, 0.0359289, 282.843
0.5, 0.0269642, 282.843
0.0557774, 0.0269642, 282.843
0.5, 0.0269642, 282.843
0.0500098, 0.0269642, 282.843
0.5, 0.0224621, 282.843
0.0409417, 0.0224621, 282.843
0.5, 0.0311111, 282.843
0.0456218, 0.0311111, 282.843
0.5, 0.0311111, 282.843
0.0613068, 0.0311111, 282.843
0.5, 0.0220961, 282.843
0.0406227, 0.0220961, 282.843
