radius, weight, alpha
0.0984472, 0.0236708, 282.843
0.0963042, 0.0236708, 282.843
0.11068, 0.0253914, 282.843
0.0505636, 0.0253914, 282.843
0.102307, 0.0334324, 282.843
0.10333, 0.0334324, 282.843
0.104445, 0.0388574, 282.843
0.109809, 0.0388574, 282.843
0.093485, 0.0265806, 282.843
0.07194, 0.0265806, 282.843
0.0929043, 0.0272108, 282.843
0.0659136, 0.0272108, 282.843
0.0983216, 0.0302105, 282.843
0.100747, 0.0302105, 282.843
0.10419, 0.0309409, 282.843
0.0985118, 0.0309409, 282.843
0.0917079, 0.0254732, 282.843
0.0794328, 0.0254732, 282.843
0.12588, 0.0258527, 282.843
0.105438, 0.0258527, 282.843
0.103533, 0.0262094, 282.843
0.107548, 0.0262094, 282.843
0.118044, 0.0321921, 282.843
0.0436835, 0.0321921, 282.843
0.100168, 0.0217253, 282.843
0.102037, 0.0217253, 282.843
0.102477, 0.0326182, 282.843
0.0934645, 0.0326182, 282.843
0.0336097, 0.0304028, 282.843
0.112291, 0.0304028, 282.843
0.0906251, 0.0307251, 282.843
0.0994046, 0.0307251, 282.843
0.0370324, 0.0271378, 282.843
0.125226, 0.0271378, 282.843
0.0575319, 0.0222403, 282.843
0.0982784, 0.0222403, 282.843
0.0584137, 0.0264104, 282.843
0.0990281, 0.0264104, 282.843
0.0438981, 0.0292294, 282.843
0.12031, 0.0292294, 282.843
0.0887731, 0.0336947, 282.843
0.0994121, 0.0336947, 282.843
0.0421315, 0.028077, 282.843
0.105796, 0.028077, 282.843
0.0503248, 0.0323223, 282.843
0.118264, 0.0323223, 282.843
0.106313, 0.029796, 282.843
0.0975262, 0.029796, 282.843
0.0833701, 0.020981, 282.843
0.106055, 0.020981, 282.843
0.043786, 0.0235527, 282.843
0.116288, 0.0235527, 282.843
0.0959033, 0.0267993, 282.843
0.0995924, 0.0267993, 282.843
0.0871327, 0.0367976, 282.843
0.102929, 0.0367976, 282.843
0.104399, 0.0247103, 282.843
0.105453, 0.0247103, 282.843
0.101273, 0.0269845, 282.843
0.099094, 0.0269845, 282.843
0.104959, 0.0245875, 282.843
0.0983791, 0.0245875, 282.843
0.0711548, 0.0251955, 282.843
0.0974079, 0.0251955, 282.843
0.0979746, 0.0241155, 282.843
0.100313, 0.0241155, 282.843
0.0825275, 0.0270698, 282.843
0.102884, 0.0270698, 282.843
0.107651, 0.0367075, 282.843
0.10583, 0.0367075, 282.843
0.104597, 0.0353348, 282.843
0.106883, 0.0353348, 282.843
0.10347, 0.0293821, 282.843
0.102106, 0.0293821, 282.843
0.059555, 0.0342281, 282.843
0.102572, 0.0342281, 282.843
0.0990731, 0.0274391, 282.843
0.0586773, 0.0274391, 282.843
0.0676569, 0.0334313, 282.843
0.0984134, 0.0334313, 282.843
0.096055, 0.0285991, 282.843
0.0940561, 0.0285991, 282.843
0.109568, 0.0276009, 282.843
0.103758, 0.0276009, 282.843
0.0646007, 0.0263295, 282.843
0.101948, 0.0263295, 282.843
0.0901034, 0.0293438, 282.843
0.0965133, 0.0293438, 282.843
0.106516, 0.0316037, 282.843
0.0980686, 0.0316037, 282.843
0.0987749, 0.0314161, 282.843
0.0752447, 0.0314161, 282.843
0.0611005, 0.028818, 282.843
0.113461, 0.028818, 282.843
0.104912, 0.0279279, 282.843
0.112243, 0.0279279, 282.843
0.102704, 0.0323931, 282.843
0.0984364, 0.0323931, 282.843
0.104043, 0.0292716, 282.843
0.0552838, 0.0292716, 282.843
0.100519, 0.0376423, 282.843
0.0978024, 0.0376423, 282.843
0.102563, 0.0289982, 282.843
0.103652, 0.0289982, 282.843
0.10933, 0.0234302, 282.843
0.0551468, 0.0234302, 282.843
0.102305, 0.0299807, 282.843
0.106348, 0.0299807, 282.843
0.110254, 0.0248246, 282.843
0.0486203, 0.0248246, 282.843
0.0915953, 0.0257627, 282.843
0.104147, 0.0257627, 282.843
0.0959268, 0.0295559, 282.843
0.0896819, 0.0295559, 282.843
0.097931, 0.0301997, 282.843
0.0947577, 0.0301997, 282.843
0.0958561, 0.0314665, 282.843
0.109593, 0.0314665, 282.843
0.101619, 0.0314913, 282.843
0.102145, 0.0314913, 282.843
0.100451, 0.0350825, 282.843
0.0945315, 0.0350825, 282.843
0.0845301, 0.0355683, 282.843
0.0875306, 0.0355683, 282.843
0.0716589, 0.0263396, 282.843
0.0909713, 0.0263396, 282.843
0.120127, 0.031247, 282.843
0.103855, 0.031247, 282.843
0.06013, 0.0305758, 282.843
0.0948805, 0.0305758, 282.843
0.0667344, 0.0297789, 282.843
0.104441, 0.0297789, 282.843
0.107576, 0.0293352, 282.843
0.0981512, 0.0293352, 282.843
0.106195, 0.0266954, 282.843
0.0993698, 0.0266954, 282.843
0.0650466, 0.0284676, 282.843
0.0968722, 0.0284676, 282.843
0.0970325, 0.0270995, 282.843
0.100905, 0.0270995, 282.843
0.0974457, 0.028018, 282.843
0.0952241, 0.028018, 282.843
0.0605871, 0.0288325, 282.843
0.09875, 0.0288325, 282.843
0.118524, 0.0290751, 282.843
0.119874, 0.0290751, 282.843
0.0919421, 0.0244686, 282.843
0.0919178, 0.0244686, 282.843
0.107054, 0.0288809, 282.843
0.117294, 0.0288809, 282.843
0.11194, 0.0266941, 282.843
0.114438, 0.0266941, 282.843
0.105636, 0.035025, 282.843
0.110681, 0.035025, 282.843
0.121169, 0.0333792, 282.843
0.0367823, 0.0333792, 282.843
0.100577, 0.0328767, 282.843
0.0938384, 0.0328767, 282.843
0.0947012, 0.0322509, 282.843
0.0986388, 0.0322509, 282.843
0.101242, 0.0308855, 282.843
0.0943593, 0.0308855, 282.843
0.0998933, 0.0290181, 282.843
0.098944, 0.0290181, 282.843
0.10024, 0.0271548, 282.843
0.104465, 0.0271548, 282.843
0.102102, 0.0316325, 282.843
0.0965951, 0.0316325, 282.843
0.11272, 0.0256645, 282.843
0.0922952, 0.0256645, 282.843
0.101735, 0.0254631, 282.843
0.0993773, 0.0254631, 282.843
0.0736665, 0.0287282, 282.843
0.0916561, 0.0287282, 282.843
0.102281, 0.0326703, 282.843
0.106984, 0.0326703, 282.843
0.0999512, 0.0275794, 282.843
0.0928371, 0.0275794, 282.843
0.10135, 0.0322834, 282.843
0.100658, 0.0322834, 282.843
0.114513, 0.0312298, 282.843
0.0489972, 0.0312298, 282.843
0.114336, 0.0251213, 282.843
0.0950635, 0.0251213, 282.843
0.0521635, 0.0232264, 282.843
0.114987, 0.0232264, 282.843
0.0950672, 0.0295224, 282.843
0.0932626, 0.0295224, 282.843
0.0918421, 0.0277294, 282.843
0.0824206, 0.0277294, 282.843
0.0976813, 0.0268889, 282.843
0.0741126, 0.0268889, 282.843
0.101412, 0.0239895, 282.843
0.109583, 0.0239895, 282.843
0.101518, 0.0328572, 282.843
0.0942124, 0.0328572, 282.843
0.0310851, 0.0257992, 282.843
0.128822, 0.0257992, 282.843
0.0818828, 0.0264036, 282.843
0.0809574, 0.0264036, 282.843
0.0848593, 0.0285933, 282.843
0.0988756, 0.0285933, 282.843
0.0751314, 0.0290184, 282.843
0.0880483, 0.0290184, 282.843
0.0600461, 0.0281147, 282.843
0.0922664, 0.0281147, 282.843
0.106418, 0.03481, 282.843
0.101992, 0.03481, 282.843
0.105629, 0.0266843, 282.843
0.0991376, 0.0266843, 282.843
0.111991, 0.0245558, 282.843
0.0982377, 0.0245558, 282.843
0.104086, 0.0265432, 282.843
0.0992019, 0.0265432, 282.843
0.104176, 0.0336748, 282.843
0.0970866, 0.0336748, 282.843
0.113317, 0.0354767, 282.843
0.106305, 0.0354767, 282.843
0.077354, 0.0301569, 282.843
0.107865, 0.0301569, 282.843
0.100456, 0.021711, 282.843
0.102529, 0.021711, 282.843
0.104343, 0.0257168, 282.843
0.0963452, 0.0257168, 282.843
0.115495, 0.0247652, 282.843
0.0961001, 0.0247652, 282.843
0.0569904, 0.0258393, 282.843
0.0998857, 0.0258393, 282.843
0.097141, 0.0231366, 282.843
0.0964988, 0.0231366, 282.843
0.0717132, 0.0323247, 282.843
0.0977364, 0.0323247, 282.843
0.117914, 0.0296952, 282.843
0.121616, 0.0296952, 282.843
0.0686579, 0.0283812, 282.843
0.087482, 0.0283812, 282.843
0.106673, 0.0284978, 282.843
0.118871, 0.0284978, 282.843
0.108033, 0.0322162, 282.843
0.112178, 0.0322162, 282.843
0.111956, 0.0273992, 282.843
0.0321521, 0.0273992, 282.843
0.0947512, 0.0233195, 282.843
0.0712591, 0.0233195, 282.843
0.0734523, 0.0323456, 282.843
0.100726, 0.0323456, 282.843
0.100407, 0.0255156, 282.843
0.099038, 0.0255156, 282.843
0.10399, 0.0253536, 282.843
0.10224, 0.0253536, 282.843
0.0927578, 0.0343607, 282.843
0.0975526, 0.0343607, 282.843
0.110335, 0.0381823, 282.843
0.0965611, 0.0381823, 282.843
0.0694247, 0.0218937, 282.843
0.096417, 0.0218937, 282.843
0.0924802, 0.0309801, 282.843
0.0968071, 0.0309801, 282.843
0.104411, 0.0312562, 282.843
0.096537, 0.0312562, 282.843
0.0798747, 0.0329659, 282.843
0.0977915, 0.0329659, 282.843
0.102309, 0.0284737, 282.843
0.0991061, 0.0284737, 282.843
0.107369, 0.0384988, 282.843
0.109928, 0.0384988, 282.843
0.100841, 0.039152, 282.843
0.101056, 0.039152, 282.843
0.106224, 0.0300642, 282.843
0.104039, 0.0300642, 282.843
0.105819, 0.0246731, 282.843
0.106041, 0.0246731, 282.843
0.101689, 0.0256298, 282.843
0.100306, 0.0256298, 282.843
0.0809338, 0.0252138, 282.843
0.099146, 0.0252138, 282.843
0.0990303, 0.0274972, 282.843
0.100407, 0.0274972, 282.843
0.088748, 0.0216925, 282.843
0.120436, 0.0216925, 282.843
0.100545, 0.0360531, 282.843
0.0968025, 0.0360531, 282.843
0.08609, 0.0269939, 282.843
0.0958629, 0.0269939, 282.843
0.102806, 0.0360214, 282.843
0.102566, 0.0360214, 282.843
0.101217, 0.0276269, 282.843
0.0978453, 0.0276269, 282.843
0.0911359, 0.0356344, 282.843
0.0900783, 0.0356344, 282.843
0.0821123, 0.0271208, 282.843
0.0938896, 0.0271208, 282.843
0.0489995, 0.02789, 282.843
