iteration, time, numNodes, f, descent norm (L2), descent norm (L1), descent norm (L∞), max curvature
82, 38, 147, 132.527, 0.284175, 3.22481, 0.0756972, 5.2106
83, 54, 149, 131.582, 0.313403, 3.72914, 0.071648, 5.10339
84, 52, 151, 131.125, 0.309918, 3.67625, 0.0940962, 6.04412
85, 61, 152, 130.841, 0.286891, 3.60659, 0.0704528, 4.98956
86, 69, 156, 129.234, 0.303589, 3.94134, 0.0665019, 5.22379
87, 59, 164, 128.91, 0.311377, 4.11605, 0.0773508, 4.3122
88, 61, 171, 127.386, 0.361649, 4.72105, 0.0781464, 4.62659
89, 60, 175, 125.675, 0.399829, 5.47786, 0.0885403, 5.51799
90, 66, 177, 124.94, 0.384893, 5.4739, 0.0878745, 5.38069
91, 112, 182, 123.199, 0.404269, 5.88034, 0.0806409, 7.67274
92, 65, 186, 121.622, 0.425525, 6.08179, 0.0922998, 5.44123
93, 94, 196, 119.104, 0.385646, 5.93079, 0.0776718, 5.16108
94, 57, 202, 116.82, 0.411088, 6.34041, 0.0985861, 5.40344
95, 67, 210, 114.25, 0.399325, 6.65256, 0.0702641, 5.92699
96, 78, 215, 111.654, 0.410655, 7.0719, 0.071426, 6.5983
97, 68, 220, 108.953, 0.423868, 7.34582, 0.0746262, 5.59119
98, 52, 227, 106.177, 0.437694, 7.48484, 0.0891786, 5.23059
99, 59, 231, 104.218, 0.410898, 7.13205, 0.0697164, 6.9721
100, 77, 232, 102.309, 0.35394, 6.4544, 0.0586731, 4.78769
